Event_ID,Event_Date,Company_ID,Student_ID,Job_ID,Event_Type,Skill,Region,Experience_Years,Job_Openings,Application_Status,Processing_Time_Hours,Search_Time_Seconds,Consent_Status
E00024,2025-01-07 21:52:35.259,Company_059,Student_0035,J0182,Company Posted,Data Analysis,North,2,7,Shortlisted,26.2,11.05,Yes
E00025,2025-01-08 05:05:18.531,Company_042,Student_0134,J0055,Student Applied,Python,East,0,1,Pending,29.4,10.71,Yes
E00026,2025-01-08 12:18:01.803,Company_060,Student_0082,J0115,Student Applied,Finance,East,0,1,Shortlisted,9.2,7.69,Yes
E00027,2025-01-08 19:30:45.075,Company_080,Student_0115,J0168,Company Shortlisted,Data Analysis,Central,3,6,Shortlisted,63.7,9.8,No
E00028,2025-01-09 02:43:28.347,Company_015,Student_0197,J0143,Student Applied,Data Analysis,West,5,5,Applied,30.5,1.29,Yes
E00029,2025-01-09 09:56:11.619,Company_062,Student_0047,J0149,Student Applied,Python,North,5,9,Applied,28.5,4.35,No
E00030,2025-01-09 17:08:54.891,Company_062,Student_0153,J0175,Company Shortlisted,Sql,Central,3,2,Shortlisted,47.8,4.11,Yes
E00031,2025-01-10 00:21:38.164,Company_047,Student_0194,J0201,Company Posted,Python,Central,0,8,Shortlisted,32.4,7.81,Yes
E00032,2025-01-10 07:34:21.436,Company_062,Student_0010,J0053,Company Shortlisted,Sql,North,0,5,Rejected,47.0,4.59,No
E00033,2025-01-10 14:47:04.708,Company_051,Student_0056,J0137,Student Applied,Finance,North,5,2,Applied,5.4,2.21,Yes
E00034,2025-01-10 21:59:47.980,Company_055,Student_0030,J0202,Company Posted,Tableau,East,1,10,Applied,58.8,7.36,No
E00035,2025-01-11 05:12:31.252,Company_064,Student_0242,J0180,Company Posted,Marketing,West,1,6,Shortlisted,67.8,9.87,Yes
E00036,2025-01-11 12:25:14.524,Company_003,Student_0109,J0057,Student Applied,Sql,West,0,10,Applied,47.1,4.89,Yes
E00037,2025-01-11 19:37:57.796,Company_051,Student_0005,J0117,Company Posted,Finance,North,1,8,Applied,68.8,2.02,Yes
E00038,2025-01-12 02:50:41.068,Company_007,Student_0119,J0154,Student Applied,Java,South,4,4,Rejected,11.8,2.76,No
E00039,2025-01-12 10:03:24.341,Company_021,Student_0248,J0169,Student Applied,Finance,Central,3,2,Applied,34.9,3.23,Yes
E00040,2025-01-12 17:16:07.613,Company_073,Student_0033,J0035,Student Applied,Python,Central,3,5,Shortlisted,43.7,3.95,Yes
E00041,2025-01-13 00:28:50.885,Company_039,Student_0118,J0063,Company Posted,Python,North,0,2,Applied,42.3,7.89,Yes
E00042,2025-01-13 07:41:34.157,Company_018,Student_0065,J0025,Company Shortlisted,Marketing,South,2,2,Applied,29.5,7.41,Yes
E00043,2025-01-13 14:54:17.429,Company_004,Student_0146,J0090,Company Shortlisted,Finance,East,5,6,Applied,25.0,8.5,Yes
E00044,2025-01-13 22:07:00.701,Company_060,Student_0224,J0075,Company Shortlisted,Excel,North,0,10,Rejected,10.0,4.67,Yes
E00045,2025-01-14 05:19:43.973,Company_014,Student_0239,J0038,Student Applied,Tableau,North,1,9,Applied,28.8,9.98,No
E00046,2025-01-14 12:32:27.245,Company_009,Student_0177,J0130,Company Posted,Python,Central,5,4,Rejected,12.5,2.85,Yes
E00047,2025-01-14 19:45:10.518,Company_053,Student_0011,J0135,Student Applied,Marketing,North,2,6,Applied,53.1,5.89,No
E00048,2025-01-15 02:57:53.790,Company_002,Student_0085,J0210,Company Posted,Tableau,North,1,7,Rejected,15.8,9.71,No
E00049,2025-01-15 10:10:37.062,Company_060,Student_0026,J0219,Company Posted,Finance,North,4,6,Applied,5.2,2.57,Yes
E00050,2025-01-15 17:23:20.334,Company_071,Student_0063,J0162,Company Posted,Finance,North,1,8,Rejected,40.2,1.76,Yes
E00051,2025-01-16 00:36:03.606,Company_044,Student_0217,J0091,Student Applied,Data Analysis,East,4,4,Shortlisted,43.3,10.66,Yes
E00052,2025-01-16 07:48:46.878,Company_008,Student_0086,J0017,Company Shortlisted,Marketing,East,5,1,Pending,62.9,4.44,No
E00053,2025-01-16 15:01:30.150,Company_047,Student_0059,J0128,Student Applied,Python,North,4,7,Applied,42.0,8.36,Yes
E00054,2025-01-16 22:14:13.422,Company_035,Student_0027,J0171,Student Applied,Excel,Central,5,3,Applied,25.5,0.79,Yes
E00055,2025-01-17 05:26:56.694,Company_078,Student_0177,J0187,Company Posted,Finance,East,5,6,Applied,58.0,8.44,No
E00056,2025-01-17 12:39:39.967,Company_036,Student_0205,J0108,Company Shortlisted,Excel,East,5,2,Rejected,35.4,4.14,No
E00057,2025-01-17 19:52:23.239,Company_050,Student_0161,J0179,Student Applied,Finance,East,5,9,Shortlisted,6.6,1.14,Yes
E00058,2025-01-18 03:05:06.511,Company_004,Student_0098,J0182,Student Applied,Python,Central,5,1,Rejected,41.2,7.51,Yes
E00059,2025-01-18 10:17:49.783,Company_002,Student_0105,J0152,Company Posted,Tableau,Central,1,6,Applied,65.5,3.27,Yes
E00060,2025-01-18 17:30:33.055,Company_006,Student_0099,J0025,Company Shortlisted,Power Bi,North,5,6,Applied,29.1,4.95,No
E00061,2025-01-19 00:43:16.327,Company_054,Student_0129,J0199,Student Applied,Tableau,West,1,5,Applied,22.0,1.43,No
E00062,2025-01-19 07:55:59.599,Company_004,Student_0149,J0180,Company Posted,Finance,East,5,5,Pending,11.2,2.19,Yes
E00063,2025-01-19 15:08:42.871,Company_054,Student_0240,J0198,Company Posted,Power Bi,West,4,1,Rejected,11.8,3.93,No
E00064,2025-01-19 22:21:26.144,Company_063,Student_0055,J0088,Student Applied,Power Bi,Central,5,10,Pending,31.7,1.53,Yes
E00065,2025-01-20 05:34:09.416,Company_018,Student_0006,J0161,Student Applied,Excel,Central,2,5,Applied,43.3,10.97,No
E00066,2025-01-20 12:46:52.688,Company_044,Student_0220,J0177,Company Posted,Marketing,Central,5,2,Shortlisted,6.7,0.57,Yes
E00067,2025-01-20 19:59:35.960,Company_034,Student_0209,J0029,Company Shortlisted,Excel,West,5,7,Rejected,67.7,6.06,Yes
E00068,2025-01-21 03:12:19.232,Company_074,Student_0197,J0063,Company Posted,Excel,Central,4,3,Applied,54.6,1.92,Yes
E00069,2025-01-21 10:25:02.504,Company_062,Student_0095,J0150,Student Applied,Tableau,North,3,4,Rejected,42.7,4.04,Yes
E00070,2025-01-21 17:37:45.776,Company_014,Student_0133,J0154,Company Shortlisted,Tableau,Central,4,3,Pending,59.8,11.15,Yes
E00071,2025-01-22 00:50:29.048,Company_048,Student_0102,J0156,Student Applied,Java,South,2,3,Pending,6.7,2.36,Yes
E00072,2025-01-22 08:03:12.321,Company_015,Student_0003,J0114,Student Applied,Finance,West,3,4,Rejected,34.9,11.61,No
E00073,2025-01-22 15:15:55.593,Company_072,Student_0181,J0213,Student Applied,Java,South,0,5,Applied,45.7,2.87,No
E00074,2025-01-22 22:28:38.865,Company_078,Student_0023,J0049,Company Posted,Python,Central,0,1,Applied,59.8,9.03,Yes
E00075,2025-01-23 05:41:22.137,Company_062,Student_0229,J0199,Company Shortlisted,Finance,North,2,4,Pending,56.6,6.79,Yes
E00076,2025-01-23 12:54:05.409,Company_040,Student_0053,J0081,Student Applied,Finance,East,4,8,Applied,20.7,10.67,Yes
E00077,2025-01-23 20:06:48.681,Company_080,Student_0165,J0084,Company Shortlisted,Data Analysis,Central,1,10,Rejected,67.8,6.87,Yes
E00078,2025-01-24 03:19:31.953,Company_053,Student_0202,J0105,Company Posted,Data Analysis,Unknown,2,7,Rejected,9.8,6.65,Yes
E00079,2025-01-24 10:32:15.225,Company_024,Student_0202,J0177,Company Posted,Sql,West,3,9,Shortlisted,63.1,2.75,Yes
E00080,2025-01-24 17:44:58.497,Company_026,Student_0083,J0148,Company Posted,Sql,South,3,5,Pending,69.9,2.41,Yes
E00081,2025-01-25 00:57:41.770,Company_060,Student_0145,J0118,Student Applied,Excel,South,5,10,Pending,13.6,11.04,No
E00082,2025-01-25 08:10:25.042,Company_041,Student_0085,J0086,Student Applied,Python,South,0,4,Applied,52.3,4.27,Yes
E00083,2025-01-25 15:23:08.314,Company_029,Student_0078,J0220,Company Shortlisted,Power Bi,West,3,8,Applied,3.9,4.78,No
E00084,2025-01-25 22:35:51.586,Company_015,Student_0201,J0063,Student Applied,Power Bi,North,2,9,Shortlisted,29.8,9.24,No
E00085,2025-01-26 05:48:34.858,Company_045,Student_0110,J0189,Company Shortlisted,Data Analysis,West,3,7,Applied,37.7,4.4,Yes
E00086,2025-01-26 13:01:18.130,Company_065,Student_0001,J0104,Company Posted,Data Analysis,South,2,7,Applied,42.2,11.45,Yes
E00087,2025-01-26 20:14:01.402,Company_071,Student_0051,J0049,Company Shortlisted,Data Analysis,Central,1,5,Rejected,67.5,8.99,Yes
E00088,2025-01-27 03:26:44.674,Company_009,Student_0173,J0071,Company Shortlisted,Marketing,East,5,4,Pending,48.7,7.37,Yes
E00089,2025-01-27 10:39:27.947,Company_001,Student_0205,J0001,Company Shortlisted,Sql,West,0,10,Applied,35.2,10.63,Yes
E00090,2025-01-27 17:52:11.219,Company_008,Student_0004,J0141,Company Shortlisted,Tableau,West,3,1,Applied,58.5,1.07,Yes
E00091,2025-01-28 01:04:54.491,Company_063,Student_0190,J0215,Student Applied,Power Bi,North,2,10,Pending,68.5,3.46,Yes
E00092,2025-01-28 08:17:37.763,Company_011,Student_0193,J0179,Student Applied,Finance,North,4,10,Applied,2.6,5.85,Yes
E00093,2025-01-28 15:30:21.035,Company_008,Student_0113,J0123,Company Posted,Sql,West,0,7,Applied,70.8,3.11,Yes
E00094,2025-01-28 22:43:04.307,Company_035,Student_0232,J0184,Company Posted,Java,South,1,1,Applied,7.1,9.05,No
E00095,2025-01-29 05:55:47.579,Company_035,Student_0032,J0211,Company Shortlisted,Tableau,East,2,1,Shortlisted,58.8,11.07,Yes
E00096,2025-01-29 13:08:30.851,Company_033,Student_0034,J0062,Student Applied,Sql,North,5,5,Applied,20.9,5.37,No
E00097,2025-01-29 20:21:14.124,Company_005,Student_0092,J0032,Company Shortlisted,Python,South,5,9,Pending,10.4,4.43,No
E00098,2025-01-30 03:33:57.396,Company_041,Student_0095,J0158,Student Applied,Finance,Central,1,6,Shortlisted,32.2,11.56,Yes
E00099,2025-01-30 10:46:40.668,Company_028,Student_0072,J0029,Company Posted,Sql,North,1,3,Shortlisted,46.7,5.62,No
E00100,2025-01-30 17:59:23.940,Company_007,Student_0039,J0049,Company Posted,Marketing,South,5,3,Applied,28.0,6.12,Yes
E00101,2025-01-31 01:12:07.212,Company_073,Student_0154,J0173,Student Applied,Data Analysis,South,3,7,Shortlisted,4.9,4.54,Yes
E00102,2025-01-31 08:24:50.484,Company_072,Student_0250,J0030,Student Applied,Data Analysis,East,3,6,Rejected,43.6,10.96,Yes
E00103,2025-01-31 15:37:33.756,Company_012,Student_0162,J0144,Company Posted,Finance,East,2,9,Rejected,65.1,7.04,Yes
E00104,2025-01-31 22:50:17.028,Company_034,Student_0182,J0168,Student Applied,Data Analysis,Central,4,6,Rejected,28.2,9.27,Yes
E00105,2025-02-01 06:03:00.300,Company_033,Student_0118,J0019,Company Posted,Sql,South,2,5,Shortlisted,16.4,9.84,Yes
E00106,2025-02-01 13:15:43.573,Company_048,Student_0003,J0018,Student Applied,Java,South,4,10,Pending,32.4,4.43,Yes
E00107,2025-02-01 20:28:26.845,Company_023,Student_0123,J0001,Company Posted,Power Bi,East,1,7,Rejected,4.4,5.49,No
E00108,2025-02-02 03:41:10.117,Company_062,Student_0050,J0078,Company Shortlisted,Unknown,North,0,1,Rejected,59.3,10.26,Yes
E00109,2025-02-02 10:53:53.389,Company_037,Student_0012,J0115,Company Posted,Tableau,North,2,7,Applied,59.7,4.68,No
E00110,2025-02-02 18:06:36.661,Company_044,Student_0193,J0175,Student Applied,Excel,West,2,3,Applied,42.7,9.63,Yes
E00111,2025-02-03 01:19:19.933,Company_035,Student_0054,J0194,Company Posted,Python,East,4,9,Applied,35.4,11.32,Yes
E00112,2025-02-03 08:32:03.205,Company_065,Student_0236,J0220,Company Posted,Finance,West,1,6,Rejected,57.8,7.67,Yes
E00113,2025-02-03 15:44:46.477,Company_047,Student_0133,J0113,Student Applied,Tableau,East,1,9,Applied,40.4,9.03,No
E00114,2025-02-03 22:57:29.750,Company_078,Student_0222,J0114,Student Applied,Excel,Central,4,5,Applied,59.6,9.76,Yes
E00115,2025-02-04 06:10:13.022,Company_003,Student_0222,J0166,Student Applied,Marketing,South,1,7,Pending,45.8,10.22,No
E00116,2025-02-04 13:22:56.294,Company_001,Student_0057,J0179,Company Posted,Marketing,Central,5,4,Pending,56.7,5.04,No
E00117,2025-02-04 20:35:39.566,Company_005,Student_0145,J0063,Student Applied,Python,East,3,7,Pending,43.5,1.09,Yes
E00118,2025-02-05 03:48:22.838,Company_014,Student_0112,J0132,Company Shortlisted,Data Analysis,South,5,1,Applied,30.4,5.12,Yes
E00119,2025-02-05 11:01:06.110,Company_027,Student_0047,J0129,Company Shortlisted,Sql,North,0,7,Rejected,69.0,8.25,Yes
E00120,2025-02-05 18:13:49.382,Company_009,Student_0151,J0008,Company Posted,Tableau,North,2,8,Applied,39.4,5.68,No
E00121,2025-02-06 01:26:32.654,Company_079,Student_0207,J0157,Student Applied,Tableau,West,0,5,Applied,44.0,9.11,Yes
E00122,2025-02-06 08:39:15.927,Company_015,Student_0229,J0055,Company Posted,Finance,East,2,2,Applied,16.7,4.61,Yes
E00123,2025-02-06 15:51:59.199,Company_042,Student_0085,J0103,Company Posted,Finance,East,3,5,Applied,45.4,7.8,Yes
E00124,2025-02-06 23:04:42.471,Company_077,Student_0142,J0131,Company Shortlisted,Marketing,North,1,6,Shortlisted,41.6,2.64,Yes
E00125,2025-02-07 06:17:25.743,Company_051,Student_0066,J0032,Company Posted,Marketing,Central,5,2,Rejected,14.1,9.12,Yes
E00126,2025-02-07 13:30:09.015,Company_063,Student_0075,J0010,Student Applied,Java,South,4,6,Applied,5.2,6.78,Yes
E00127,2025-02-07 20:42:52.287,Company_052,Student_0179,J0202,Student Applied,Java,Central,5,6,Rejected,43.9,2.85,No
E00128,2025-02-08 03:55:35.559,Company_004,Student_0103,J0211,Student Applied,Data Analysis,Central,3,1,Shortlisted,55.2,3.86,Yes
E00129,2025-02-08 11:08:18.831,Company_023,Student_0166,J0110,Student Applied,Java,North,0,1,Applied,38.2,9.11,Yes
E00130,2025-02-08 18:21:02.104,Company_015,Student_0192,J0162,Company Posted,Sql,North,4,10,Shortlisted,17.1,6.05,No
E00131,2025-02-09 01:33:45.376,Company_043,Student_0226,J0124,Company Posted,Sql,North,1,3,Applied,48.3,2.98,Yes
E00132,2025-02-09 08:46:28.648,Company_029,Student_0038,J0087,Student Applied,Tableau,West,3,10,Shortlisted,6.7,11.62,Yes
E00133,2025-02-09 15:59:11.920,Company_036,Student_0050,J0055,Company Posted,Power Bi,Central,4,10,Shortlisted,32.4,8.72,No
E00134,2025-02-09 23:11:55.192,Company_013,Student_0098,J0220,Student Applied,Sql,East,3,3,Applied,12.6,11.51,Yes
E00135,2025-02-10 06:24:38.464,Company_032,Student_0082,J0032,Company Posted,Excel,South,3,4,Applied,14.1,5.41,Yes
E00136,2025-02-10 13:37:21.736,Company_071,Student_0030,J0178,Company Posted,Marketing,West,1,2,Pending,15.4,5.96,Yes
E00137,2025-02-10 20:50:05.008,Company_059,Student_0079,J0135,Student Applied,Finance,East,2,9,Pending,28.5,10.83,Yes
E00138,2025-02-11 04:02:48.280,Company_028,Student_0091,J0093,Company Posted,Java,Unknown,4,10,Applied,4.6,6.54,Yes
E00139,2025-02-11 11:15:31.553,Company_066,Student_0179,J0008,Student Applied,Tableau,North,1,7,Rejected,29.2,8.63,Yes
E00140,2025-02-11 18:28:14.825,Company_042,Student_0191,J0065,Student Applied,Python,Central,3,7,Shortlisted,37.3,3.4,Yes
E00141,2025-02-12 01:40:58.097,Company_045,Student_0226,J0057,Company Shortlisted,Finance,South,1,6,Pending,35.3,5.64,Yes
E00142,2025-02-12 08:53:41.369,Company_062,Student_0052,J0067,Company Posted,Excel,West,2,3,Rejected,28.2,1.92,Yes
E00143,2025-02-12 16:06:24.641,Company_057,Student_0249,J0216,Company Posted,Java,West,5,6,Shortlisted,60.6,2.87,No
E00144,2025-02-12 23:19:07.913,Company_006,Student_0166,J0215,Company Posted,Excel,South,4,8,Shortlisted,11.3,0.51,No
E00145,2025-02-13 06:31:51.185,Company_028,Student_0225,J0187,Student Applied,Marketing,East,2,8,Pending,36.9,0.95,Yes
E00146,2025-02-13 13:44:34.457,Company_028,Student_0216,J0072,Student Applied,Marketing,East,0,9,Applied,5.4,11.74,Yes
E00147,2025-02-13 20:57:17.730,Company_044,Student_0079,J0054,Company Posted,Data Analysis,West,4,1,Applied,6.1,3.29,Yes
E00148,2025-02-14 04:10:01.002,Company_030,Student_0030,J0067,Company Shortlisted,Tableau,West,2,1,Applied,41.7,8.13,No
E00149,2025-02-14 11:22:44.274,Company_062,Student_0247,J0051,Company Posted,Finance,North,3,3,Rejected,41.2,10.15,Yes
E00150,2025-02-14 18:35:27.546,Company_075,Student_0106,J0097,Student Applied,Finance,East,4,3,Rejected,63.3,6.83,No
E00151,2025-02-15 01:48:10.818,Company_062,Student_0051,J0092,Student Applied,Python,South,4,10,Applied,40.6,2.26,Yes
E00152,2025-02-15 09:00:54.090,Company_001,Student_0081,J0008,Company Shortlisted,Tableau,East,1,8,Shortlisted,69.1,8.87,Yes
E00153,2025-02-15 16:13:37.362,Company_027,Student_0133,J0162,Student Applied,Excel,North,3,10,Shortlisted,4.5,7.4,Yes
E00154,2025-02-15 23:26:20.634,Company_062,Student_0029,J0035,Company Shortlisted,Python,West,0,1,Applied,8.0,8.91,Yes
E00155,2025-02-16 06:39:03.907,Company_077,Student_0132,J0096,Company Posted,Power Bi,West,5,2,Pending,4.1,9.35,Yes
E00156,2025-02-16 13:51:47.179,Company_003,Student_0138,J0088,Company Shortlisted,Finance,Unknown,2,2,Applied,14.2,11.72,Yes
E00157,2025-02-16 21:04:30.451,Company_070,Student_0184,J0078,Company Posted,Excel,South,1,3,Applied,39.4,7.1,Yes
E00158,2025-02-17 04:17:13.723,Company_072,Student_0145,J0032,Company Shortlisted,Sql,West,2,6,Shortlisted,46.8,4.43,Yes
E00159,2025-02-17 11:29:56.995,Company_027,Student_0074,J0120,Student Applied,Data Analysis,Central,0,1,Rejected,4.2,7.96,Yes
E00160,2025-02-17 18:42:40.267,Company_009,Student_0017,J0046,Company Shortlisted,Tableau,West,0,2,Applied,68.2,1.29,Yes
E00161,2025-02-18 01:55:23.539,Company_062,Student_0084,J0144,Student Applied,Marketing,Central,4,1,Shortlisted,60.8,10.82,Yes
E00162,2025-02-18 09:08:06.811,Company_037,Student_0216,J0196,Student Applied,Sql,North,0,5,Shortlisted,22.1,1.87,Yes
E00163,2025-02-18 16:20:50.083,Company_051,Student_0069,J0165,Student Applied,Data Analysis,North,2,7,Pending,6.5,4.27,Yes
E00164,2025-02-18 23:33:33.356,Company_044,Student_0034,J0182,Student Applied,Data Analysis,West,3,8,Applied,13.1,9.88,No
E00165,2025-02-19 06:46:16.628,Company_024,Student_0006,J0213,Company Posted,Power Bi,East,3,10,Shortlisted,10.0,7.37,Yes
E00166,2025-02-19 13:58:59.900,Company_079,Student_0053,J0142,Company Posted,Power Bi,Central,4,1,Applied,9.8,5.03,No
E00167,2025-02-19 21:11:43.172,Company_059,Student_0194,J0055,Company Posted,Java,South,5,7,Pending,37.8,5.94,Yes
E00168,2025-02-20 04:24:26.444,Company_032,Student_0205,J0176,Company Posted,Java,West,2,5,Rejected,18.5,10.33,Yes
E00169,2025-02-20 11:37:09.716,Company_052,Student_0126,J0210,Company Shortlisted,Python,South,2,10,Pending,26.4,4.41,No
E00170,2025-02-20 18:49:52.988,Company_062,Student_0235,J0007,Company Posted,Data Analysis,West,0,1,Applied,71.3,10.5,Yes
E00171,2025-02-21 02:02:36.260,Company_058,Student_0043,J0074,Company Shortlisted,Sql,East,2,3,Pending,49.6,1.51,Yes
E00172,2025-02-21 09:15:19.533,Company_052,Student_0240,J0007,Company Posted,Tableau,East,1,7,Shortlisted,68.4,9.43,No
E00173,2025-02-21 16:28:02.805,Company_012,Student_0203,J0161,Company Posted,Data Analysis,East,5,10,Applied,11.1,10.25,Yes
E00174,2025-02-21 23:40:46.077,Company_039,Student_0115,J0151,Company Shortlisted,Power Bi,East,0,1,Applied,28.1,2.59,Yes
E00175,2025-02-22 06:53:29.349,Company_002,Student_0111,J0085,Student Applied,Excel,North,1,7,Applied,40.4,5.45,No
E00176,2025-02-22 14:06:12.621,Company_003,Student_0249,J0147,Student Applied,Marketing,North,4,5,Rejected,6.4,2.4,Yes
E00177,2025-02-22 21:18:55.893,Company_056,Student_0151,J0112,Student Applied,Java,Central,3,1,Shortlisted,1.3,8.63,Yes
E00178,2025-02-23 04:31:39.165,Company_059,Student_0183,J0125,Student Applied,Finance,South,4,1,Applied,48.6,6.66,Yes
E00179,2025-02-23 11:44:22.437,Company_002,Student_0080,J0147,Company Posted,Excel,West,3,1,Shortlisted,46.6,7.81,Yes
E00180,2025-02-23 18:57:05.710,Company_002,Student_0095,J0036,Company Shortlisted,Tableau,West,4,9,Applied,30.2,2.76,Yes
E00181,2025-02-24 02:09:48.982,Company_054,Student_0203,J0029,Company Shortlisted,Power Bi,North,2,3,Shortlisted,35.8,2.94,Yes
E00182,2025-02-24 09:22:32.254,Company_001,Student_0118,J0188,Student Applied,Power Bi,West,1,5,Applied,30.5,0.98,Yes
E00183,2025-02-24 16:35:15.526,Company_019,Student_0144,J0082,Company Posted,Power Bi,North,3,10,Rejected,2.7,4.2,Yes
E00184,2025-02-24 23:47:58.798,Company_002,Student_0008,J0002,Student Applied,Finance,Central,0,9,Rejected,24.8,6.94,Yes
E00185,2025-02-25 07:00:42.070,Company_053,Student_0132,J0129,Company Posted,Java,South,1,6,Shortlisted,13.6,10.37,Yes
E00186,2025-02-25 14:13:25.342,Company_044,Student_0104,J0047,Company Posted,Excel,Central,0,9,Applied,8.0,8.17,Yes
E00187,2025-02-25 21:26:08.614,Company_032,Student_0132,J0197,Company Posted,Tableau,East,1,8,Applied,68.9,5.51,Yes
E00188,2025-02-26 04:38:51.886,Company_070,Student_0184,J0148,Student Applied,Java,East,1,8,Rejected,43.6,11.46,Yes
E00189,2025-02-26 11:51:35.159,Company_032,Student_0025,J0011,Company Shortlisted,Tableau,East,4,1,Applied,52.7,8.77,Yes
E00190,2025-02-26 19:04:18.431,Company_068,Student_0195,J0130,Student Applied,Java,Central,3,9,Applied,23.4,11.2,No
E00191,2025-02-27 02:17:01.703,Company_055,Student_0096,J0195,Student Applied,Finance,West,3,6,Applied,28.9,6.57,Yes
E00192,2025-02-27 09:29:44.975,Company_075,Student_0195,J0215,Student Applied,Marketing,South,1,9,Shortlisted,17.8,3.48,Yes
E00193,2025-02-27 16:42:28.247,Company_056,Student_0155,J0119,Student Applied,Tableau,East,2,3,Shortlisted,7.9,1.11,Yes
E00194,2025-02-27 23:55:11.519,Company_017,Student_0093,J0140,Student Applied,Java,East,2,3,Rejected,13.7,8.85,Yes
E00195,2025-02-28 07:07:54.791,Company_038,Student_0160,J0020,Company Shortlisted,Power Bi,East,0,6,Applied,57.6,1.89,No
E00196,2025-02-28 14:20:38.063,Company_024,Student_0178,J0005,Company Posted,Data Analysis,South,0,9,Applied,49.1,3.98,No
E00197,2025-02-28 21:33:21.336,Company_069,Student_0061,J0037,Company Shortlisted,Power Bi,East,4,7,Rejected,39.8,6.62,Yes
E00198,2025-03-01 04:46:04.608,Company_070,Student_0122,J0166,Student Applied,Python,South,1,3,Rejected,34.7,6.99,Yes
E00199,2025-03-01 11:58:47.880,Company_011,Student_0051,J0137,Student Applied,Marketing,East,0,3,Applied,35.4,7.41,Yes
E00200,2025-03-01 19:11:31.152,Company_016,Student_0147,J0053,Student Applied,Marketing,Central,0,2,Shortlisted,6.2,2.41,No
E00201,2025-03-02 02:24:14.424,Company_073,Student_0021,J0172,Student Applied,Power Bi,Central,5,9,Applied,20.9,4.87,Yes
E00202,2025-03-02 09:36:57.696,Company_059,Student_0005,J0099,Company Shortlisted,Excel,South,1,3,Pending,25.8,7.6,Yes
E00203,2025-03-02 16:49:40.968,Company_070,Student_0210,J0086,Company Shortlisted,Finance,Unknown,4,5,Applied,56.6,11.65,Yes
